Name,Style,Brand,Bluetooth,Rechargable,Warranty_Years,Price,OTC
OTC fio Premium Rechargable Hearing Aids,ITC,Lucid Hearing,No ,Yes,1,1700,Yes
ReCharge! Plus HA-802 Behind the Ear App Enabled Hearing Aids,BTE,Hearing Assist,Yes,Yes,1,599.99,Yes
Eargo 6 Hearing Aid,CIC,Eargo,Yes,Yes,2,2950,Yes
Eargo Neo HiFi Hearing Aid,CIC,Eargo,Yes,Yes,2,1950,Yes
Enhance Plus Self-Fitting OTC Hearing Aids,ITC,Jabra,Yes,Yes,1,800,Yes
ReCharge! HA-302 Behind the Ear Hearing Aids (Both Ears),BTE,Hearing Assist,No ,Yes,1,500,Yes
Go Prime OTC Hearing Aids,ITE,Go Hearing,No ,Yes,1,299,Yes
LexieB2 OTC Hearing Aids Powered by Bose,BTE,Lexie Hearing,Yes,Yes,1,999,Yes
OTC ENGAGE BTE RECHARGEABLE Hearing Aids (Andrioid),BTE,Lucid Hearing,Yes,Yes,1,1000,Yes
Go Lite OTC Hearing Aids,ITE,Go Hearing,No ,Yes,1,199,Yes
Lexie Lumen OTC Hearing Aids,BTE,Lexie Hearing,Yes,No,1,799,Yes
LexieB1 OTC Hearing Aids Powered by Bose,BTE,Lexie Hearing,Yes,No,1,849,Yes
Recharge! Plus HA-900 ,BTE,Hearing Assist,Yes,Yes,1,700,Yes
OTC ENGAGE BTE RECHARGEABLE Hearing Aids (iOS),BTE,Lucid Hearing,Yes,Yes,1,1000,Yes
EAZE OTC Hearing Aid Kit,BTE,Hearing Assist,No ,Yes,1,600,Yes
Eargo 5 Hearing Aid,CIC,Eargo,Yes,Yes,1,2450,Yes
Lively 2 Pro,BTE,Jabra,Yes,Yes,3,1995,Yes
Lively 2 Lite,BTE,Jabra,Yes,No,3,1195,Yes
ENZO Q5 High Powe,BTE,Resound,Yes,Yes,3,2470,No
LiNX Quattro 7,ITE,ReSound,Yes,Yes,3,3710,No
Opn 1 FS,ITE,Oticon,Yes,Yes,3,5150,No
Opn Play 1 Power Plus,BTE,Oticon,Yes,Yes,3,2790,No
Evoke 330 Fashion,BTE,Widex,Yes,Yes,3,3758,No
Magnify XP 330 FS,ITE,Widex,Yes,Yes,3,5098,No
Livio Custom Edge Al,CIC,Starkey,Yes,Yes,3,7500,No
Livio 2400,ITE,Starkey,Yes,Yes,3,7196,No
EVOLV AL 2400 BTE 13,BTE,Starkey,Yes,Yes,2,5676,No
Virto P90 312,ITE,Phonak,Yes,Yes,3,5599.98,No
Bolero M90-M,BTE,Phonak,Yes,Yes,2,5399.98,No
Signia Silk X,ITE,Signia,No ,No ,3,3980,No
Motion 13 NX,BTE,Signia,Yes,No,3,2198,No
Sterling 80 BC,ITE,Rexton,Yes,Yes,3,3898,No
M-CORE B Li M 80,BTE,Rexton,Yes,Yes,3,4398,No
Insio AX,CIC,Signia,No ,Yes,3,4800,No
Insio Charge&Go AX 7 Custom,ITC,Signia,Yes,Yes,3,3548,No
Livio Edge AL 2400,ITC,Starkey,Yes,Yes,3,5500,No
Audeo P90-RL,BTE,Phonak,Yes,Yes,3,6159.98,No
Naida M70 SP,BTE,Phonak,Yes,No,2,3739.89,No
Customs 7 FS,ITE,ReSound,Yes,Yes,3,3970,No
OMNIA 7 RIE,BTE,ReSound,Yes,Yes,3,3910,No
Moment 13 D 330,BTE,Widex,Yes,No,3,2599,No
Evoke-XP 330 FS,ITE,Widex,Yes,Yes,3,3758,No
Audeo P70-R ,BTE,Unitron,Yes,Yes,3,4099.98,No
Virto P70 312,ITE,Unitron,Yes,Yes,3,3879.98,No
Xceed 1 UP,BTE,Oticon,Yes,No,3,4870,No
Own 1,ITC,Oticon,Yes,Yes,3,4598,No
Adore ix,CIC,Rexton,Yes,No,3,6000,No
Stride B7-UP,BTE,Unitron,Yes,No,3,3519.98,No
Insera 9 FS Dir 9,CIC,Unitron,Yes,No,3,5059.98,No
Emerald 80,BTE,Rexton,Yes,Yes,3,3398,No
Livio 2400 13,BTE,Starkey,Yes,Yes,3,6476,No
